gene_ID,Fishers_sym
isogroup12000,1
isogroup12002,1
isogroup12003,0
isogroup12004,0
isogroup12006,0
isogroup1201,1
isogroup12010,0
isogroup12012,0
isogroup12017,1
isogroup12018,1
isogroup12023,0
isogroup12029,0
isogroup12031,0
isogroup12033,0
isogroup12036,0
isogroup12038,0
isogroup1204,0
isogroup12042,0
isogroup12052,0
isogroup12055,1
isogroup12058,0
isogroup1206,1
isogroup12060,0
isogroup12070,1
isogroup12077,1
isogroup12078,0
isogroup12082,1
isogroup12083,1
isogroup12090,1
isogroup12098,1
isogroup12101,0
isogroup12102,0
isogroup12105,0
isogroup12114,0
isogroup1212,0
isogroup12125,0
isogroup12126,0
isogroup12133,0
isogroup12136,0
isogroup12145,0
isogroup12150,1
isogroup12151,0
isogroup1216,0
isogroup12161,1
isogroup12166,0
isogroup12169,0
isogroup12171,0
isogroup12173,0
isogroup12179,0
isogroup12180,0
isogroup12181,1
isogroup12192,0
isogroup12194,0
isogroup12196,0
isogroup12197,0
isogroup12198,0
isogroup12199,0
isogroup122,1
isogroup12241,0
isogroup12253,0
isogroup12254,1
isogroup1231,0
isogroup12312,0
isogroup12315,1
isogroup12321,0
isogroup12330,0
isogroup12332,0
isogroup12343,0
isogroup12359,0
isogroup1236,0
isogroup12375,0
isogroup12376,0
isogroup12383,0
isogroup12384,0
isogroup12391,1
isogroup12392,1
isogroup12394,1
isogroup12410,0
isogroup12413,0
isogroup12419,1
isogroup1242,0
isogroup12427,0
isogroup12432,0
isogroup12437,1
isogroup12441,1
isogroup12442,0
isogroup12443,0
isogroup12466,0
isogroup12469,0
isogroup12475,1
isogroup12476,1
isogroup12477,1
isogroup12482,1
isogroup12489,1
isogroup12493,0
isogroup12495,1
isogroup12496,1
isogroup12505,0
isogroup12506,0
isogroup12509,0
isogroup12517,0
isogroup12524,1
isogroup12535,1
isogroup12542,0
isogroup12546,1
isogroup12549,0
isogroup1255,0
isogroup12554,0
isogroup12558,0
isogroup12559,1
isogroup12561,0
isogroup12565,0
isogroup12572,0
isogroup12579,0
isogroup12590,0
isogroup12598,0
isogroup126,0
isogroup12608,0
isogroup1262,0
isogroup1263,0
isogroup12633,0
isogroup1264,1
isogroup12654,0
isogroup12679,0
isogroup12681,1
isogroup12684,0
isogroup12685,0
isogroup12688,0
isogroup12691,0
isogroup12698,1
isogroup12699,0
isogroup12701,1
isogroup12702,0
isogroup1271,0
isogroup12727,0
isogroup12745,0
isogroup1275,0
isogroup12754,0
isogroup12755,1
isogroup12756,0
isogroup12764,0
isogroup12766,1
isogroup12768,0
isogroup1277,0
isogroup12774,0
isogroup12788,0
isogroup12790,0
isogroup12794,0
isogroup128,0
isogroup12801,0
isogroup12805,0
isogroup12809,0
isogroup12817,0
isogroup12822,1
isogroup12823,0
isogroup12824,0
isogroup12829,0
isogroup12840,0
isogroup12846,0
isogroup12847,0
isogroup1285,1
isogroup12850,0
isogroup1287,1
isogroup1288,0
isogroup12883,1
isogroup12889,1
isogroup12895,1
isogroup12901,0
isogroup12910,0
isogroup1292,0
isogroup12922,1
isogroup12923,0
isogroup12928,1
isogroup12930,0
isogroup12931,0
isogroup12938,0
isogroup12948,0
isogroup1295,1
isogroup12956,0
isogroup1296,0
isogroup12966,0
isogroup1297,1
isogroup12973,0
isogroup12978,0
isogroup12985,0
isogroup12987,1
isogroup12991,1
isogroup12995,0
isogroup12996,1
isogroup12999,1
isogroup1300,0
isogroup13000,0
isogroup13001,0
isogroup13009,1
isogroup1301,0
isogroup13012,1
isogroup13016,1
isogroup13022,0
isogroup13024,1
isogroup13027,1
isogroup13028,1
isogroup13029,1
isogroup1303,0
isogroup13031,0
isogroup13033,0
isogroup13037,0
isogroup13038,0
isogroup13049,0
isogroup13051,0
isogroup13054,0
isogroup13055,0
isogroup13062,0
isogroup13065,1
isogroup13074,1
isogroup13077,0
isogroup13105,1
isogroup13109,0
isogroup1312,0
isogroup13131,0
isogroup13143,0
isogroup13148,1
isogroup13151,1
isogroup13153,0
isogroup13159,0
isogroup13167,0
isogroup13168,1
isogroup13169,1
isogroup13177,0
isogroup1318,0
isogroup1319,0
isogroup13191,0
isogroup13203,0
isogroup13205,1
isogroup13207,0
isogroup13208,0
isogroup13209,1
isogroup13210,1
isogroup13212,1
isogroup13219,1
isogroup13222,0
isogroup13235,1
isogroup13238,0
isogroup13239,1
isogroup13241,0
isogroup13243,0
isogroup13245,0
isogroup13246,0
isogroup13248,1
isogroup13249,1
isogroup13253,0
isogroup13256,0
isogroup1326,1
isogroup13264,0
isogroup13265,1
isogroup13276,0
isogroup13278,0
isogroup13287,0
isogroup133,0
isogroup13324,0
isogroup13339,0
isogroup13345,0
isogroup13346,1
isogroup13351,1
isogroup13355,1
isogroup13372,0
isogroup13375,0
isogroup13383,1
isogroup13384,0
isogroup13386,0
isogroup13388,0
isogroup1339,1
isogroup13395,0
isogroup13397,1
isogroup13398,0
isogroup13410,0
isogroup13416,0
isogroup1342,0
isogroup13426,0
isogroup13427,1
isogroup13431,0
isogroup13437,0
isogroup13443,1
isogroup13464,0
isogroup13469,1
isogroup13477,0
isogroup1349,0
isogroup13493,0
isogroup13504,0
isogroup13521,0
isogroup13539,0
isogroup13552,1
isogroup13553,1
isogroup13554,1
isogroup13555,0
isogroup13560,0
isogroup13568,0
isogroup13569,0
isogroup13570,0
isogroup13576,0
isogroup13579,0
isogroup1358,0
isogroup13584,0
isogroup1359,0
isogroup13601,0
isogroup13610,0
isogroup13624,0
isogroup13625,0
isogroup13634,0
isogroup13636,1
isogroup13658,1
isogroup1366,0
isogroup13667,0
isogroup13668,0
isogroup13673,0
isogroup13677,1
isogroup13683,0
isogroup13685,0
isogroup13688,0
isogroup13691,1
isogroup13692,1
isogroup13703,0
isogroup13705,1
isogroup13709,0
isogroup1371,0
isogroup13711,0
isogroup13718,0
isogroup13719,0
isogroup13725,1
isogroup13726,0
isogroup13729,0
isogroup1373,0
isogroup13732,0
isogroup13733,0
isogroup13737,1
isogroup13743,1
isogroup13758,0
isogroup1376,0
isogroup13762,0
isogroup13783,1
isogroup13786,0
isogroup13787,0
isogroup13790,0
isogroup13809,0
isogroup1381,0
isogroup13817,0
isogroup13828,1
isogroup13831,0
isogroup13838,0
isogroup1384,0
isogroup13840,0
isogroup13842,0
isogroup13850,0
isogroup13857,0
isogroup13859,0
isogroup13862,0
isogroup13863,1
isogroup13868,0
isogroup13881,1
isogroup13884,0
isogroup13889,0
isogroup13893,1
isogroup13902,0
isogroup13903,1
isogroup13906,0
isogroup13911,0
isogroup13915,0
isogroup13916,1
isogroup13924,1
isogroup13927,0
isogroup13930,1
isogroup13937,0
isogroup13948,0
isogroup13955,0
isogroup13956,0
isogroup13968,1
isogroup13972,0
isogroup13979,1
isogroup14008,0
isogroup14010,0
isogroup14013,1
isogroup14017,1
isogroup1402,0
isogroup14027,1
isogroup14028,0
isogroup14029,0
isogroup14037,1
isogroup14038,0
isogroup14041,1
isogroup14045,1
isogroup14046,1
isogroup14050,0
isogroup14051,0
isogroup14059,0
isogroup14069,1
isogroup14070,1
isogroup14071,1
isogroup14073,0
isogroup14078,1
isogroup14095,1
isogroup14096,0
isogroup14098,0
isogroup1410,0
isogroup14100,0
isogroup14110,1
isogroup14111,0
isogroup1412,1
isogroup14120,0
isogroup14128,0
isogroup14129,0
isogroup14135,0
isogroup14136,0
isogroup14139,0
isogroup14141,0
isogroup14160,1
isogroup14161,0
isogroup14182,1
isogroup14184,0
isogroup14189,0
isogroup14209,1
isogroup14218,0
isogroup14219,0
isogroup14224,1
isogroup14227,0
isogroup14232,1
isogroup14234,1
isogroup1424,0
isogroup14243,1
isogroup14244,1
isogroup14246,1
isogroup14268,0
isogroup14277,1
isogroup14278,1
isogroup14299,1
isogroup14309,0
isogroup14315,0
isogroup14316,0
isogroup14324,0
isogroup14326,0
isogroup14334,1
isogroup14343,0
isogroup14366,0
isogroup14367,0
isogroup14372,1
isogroup14373,1
isogroup14375,1
isogroup14381,0
isogroup14385,1
isogroup14407,0
isogroup14414,0
isogroup14419,0
isogroup14420,0
isogroup14421,1
isogroup14441,0
isogroup14442,0
isogroup14450,0
isogroup14459,1
isogroup14460,0
isogroup14462,0
isogroup14466,0
isogroup14468,0
isogroup14469,0
isogroup1447,0
isogroup14473,0
isogroup14499,1
isogroup14506,0
isogroup1451,1
isogroup14512,0
isogroup14518,0
isogroup14523,0
isogroup14527,0
isogroup14528,0
isogroup14529,0
isogroup1453,0
isogroup14531,0
isogroup14537,0
isogroup14538,0
isogroup1456,1
isogroup14566,1
isogroup14573,0
isogroup14575,0
isogroup14579,0
isogroup1458,1
isogroup14582,0
isogroup14583,0
isogroup14588,1
isogroup146,0
isogroup1460,0
isogroup14606,0
isogroup14608,0
isogroup1461,0
isogroup14611,0
isogroup14612,0
isogroup14613,0
isogroup14617,0
isogroup14618,0
isogroup14620,0
isogroup14622,0
isogroup14632,0
isogroup14634,0
isogroup14642,0
isogroup14653,0
isogroup14658,0
isogroup14660,0
isogroup14662,0
isogroup14674,0
isogroup14678,1
isogroup14679,0
isogroup14682,0
isogroup14683,0
isogroup14692,1
isogroup14693,0
isogroup14695,0
isogroup1470,0
isogroup14701,0
isogroup14703,0
isogroup14704,1
isogroup14709,0
isogroup14712,1
isogroup14714,1
isogroup14721,1
isogroup14724,0
isogroup14747,0
isogroup14749,0
isogroup14769,0
isogroup14776,1
isogroup1478,1
isogroup14786,0
isogroup14788,1
isogroup14789,1
isogroup1479,0
isogroup14791,1
isogroup14792,0
isogroup14794,0
isogroup14796,0
isogroup14804,1
isogroup14810,0
isogroup14819,1
isogroup14820,0
isogroup14821,0
isogroup14831,0
isogroup14857,0
isogroup14876,1
isogroup14880,1
isogroup14887,0
isogroup1489,0
isogroup14890,0
isogroup14892,0
isogroup14895,0
isogroup14898,0
isogroup149,1
isogroup14902,0
isogroup14914,0
isogroup14926,1
isogroup14929,0
isogroup14930,0
isogroup14937,0
isogroup14945,1
isogroup14947,1
isogroup14962,0
isogroup14970,0
isogroup14972,0
isogroup14986,0
isogroup14999,1
isogroup150,1
isogroup15001,0
isogroup15008,0
isogroup15009,0
isogroup15012,0
isogroup15014,1
isogroup15016,1
isogroup15022,1
isogroup15042,1
isogroup15051,1
isogroup15055,0
isogroup15056,1
isogroup15067,0
isogroup15071,1
isogroup15081,0
isogroup1509,0
isogroup15090,0
isogroup15092,0
isogroup15096,0
isogroup15099,1
isogroup151,0
isogroup15100,1
isogroup1512,0
isogroup15122,0
isogroup15123,0
isogroup15158,0
isogroup15161,0
isogroup15167,0
isogroup1517,0
isogroup15180,0
isogroup15190,0
isogroup15219,0
isogroup1525,1
isogroup15266,1
isogroup15269,0
isogroup1527,0
isogroup15274,0
isogroup15280,0
isogroup15290,0
isogroup15291,0
isogroup153,0
isogroup1530,0
isogroup15300,0
isogroup15305,1
isogroup15331,1
isogroup1535,0
isogroup1537,0
isogroup15371,1
isogroup15378,0
isogroup1538,0
isogroup15381,0
isogroup15384,1
isogroup15396,0
isogroup15399,1
isogroup15408,0
isogroup15430,0
isogroup15432,0
isogroup15436,0
isogroup15437,1
isogroup15442,0
isogroup15443,1
isogroup15444,1
isogroup15450,0
isogroup15451,0
isogroup15459,1
isogroup15460,1
isogroup15462,0
isogroup15467,0
isogroup15468,0
isogroup15471,0
isogroup1548,1
isogroup15482,0
isogroup15483,0
isogroup15484,0
isogroup15485,0
isogroup15487,0
isogroup1549,0
isogroup15491,0
isogroup15495,1
isogroup15497,0
isogroup15498,1
isogroup15500,0
isogroup15503,1
isogroup15512,0
isogroup15517,1
isogroup15522,0
isogroup15523,0
isogroup15526,0
isogroup15563,0
isogroup15565,0
isogroup15600,0
isogroup15647,0
isogroup15657,0
isogroup15663,1
isogroup15664,1
isogroup15665,1
isogroup15671,0
isogroup15675,1
isogroup15679,0
isogroup15691,0
isogroup15695,0
isogroup157,1
isogroup15702,0
isogroup15703,0
isogroup15710,0
isogroup15711,0
isogroup15713,1
isogroup15723,1
isogroup1573,0
isogroup15732,0
isogroup15737,0
isogroup15738,0
isogroup15745,0
isogroup15747,0
isogroup15764,1
isogroup15778,0
isogroup15784,0
isogroup15798,0
isogroup15799,1
isogroup158,0
isogroup15804,1
isogroup15806,0
isogroup15808,0
isogroup15812,0
isogroup15815,0
isogroup15816,1
isogroup1582,0
isogroup15829,0
isogroup1583,1
isogroup15838,0
isogroup1584,0
isogroup15852,0
isogroup15860,0
isogroup15883,1
isogroup15887,1
isogroup15888,1
isogroup15889,0
isogroup15892,1
isogroup15899,0
isogroup1591,1
isogroup15916,1
isogroup15918,0
isogroup15920,1
isogroup15924,0
isogroup15942,0
isogroup15950,0
isogroup15951,0
isogroup15955,1
isogroup15959,0
isogroup15965,1
isogroup15967,0
isogroup15968,0
isogroup15971,0
isogroup15972,1
isogroup1598,0
isogroup15981,0
isogroup15988,1
isogroup1599,0
isogroup15994,0
isogroup15998,0
isogroup15999,0
isogroup16000,1
isogroup16005,1
isogroup16012,1
isogroup16015,0
isogroup16025,0
isogroup16035,0
isogroup16038,0
isogroup16054,0
isogroup16055,1
isogroup16057,1
isogroup16058,1
isogroup16063,0
isogroup16066,1
isogroup16071,0
isogroup16077,0
isogroup1608,1
isogroup16085,0
isogroup16086,1
isogroup16089,0
isogroup16091,1
isogroup16097,0
isogroup1610,0
isogroup16106,1
isogroup1611,0
isogroup16112,0
