genes,signedlogP
Oarb_100012_c0_g1,0.51699305231383
Oarb_100023_c0_g1,1.51014343707832
Oarb_100054_c2_g1,0.271977325097079
Oarb_100054_c2_g2,0.5325803451856
Oarb_100054_c2_g4,-0.185437752749561
Oarb_100054_c2_g6,0.403801414038169
Oarb_100059_c0_g1,0.000334248652869274
Oarb_100078_c0_g1,5.72200247940364
Oarb_100115_c0_g1,0.0532135020124471
Oarb_100172_c0_g1,-0.446971194051051
Oarb_100181_c1_g1,0.172708485299493
Oarb_100188_c0_g1,0.0633927216018648
Oarb_100193_c0_g1,-0.440610548752479
Oarb_100202_c0_g1,0.440382855257504
Oarb_100229_c0_g1,-0.88961276465041
Oarb_100248_c1_g1,0.107646448554023
Oarb_100254_c0_g1,-0.48038399051028
Oarb_100302_c1_g1,1.59001364677933
Oarb_100314_c0_g1,-0.424053880466975
Oarb_100337_c0_g1,-0.561404044980606
Oarb_100378_c0_g1,-0.497428821192336
Oarb_100478_c0_g1,-0.105010699863169
Oarb_100535_c0_g1,0.100983252278382
Oarb_100544_c0_g2,-0.244916060492872
Oarb_100547_c0_g1,0.1186355640915
Oarb_100562_c0_g1,-2.58871872194492
Oarb_100576_c0_g1,1.9211730390196
Oarb_100625_c1_g1,-1.9265467724462
Oarb_100625_c1_g2,0.0430945046563854
Oarb_100638_c1_g1,0.01132063474601
Oarb_100649_c0_g1,-0.0820442675209372
Oarb_100665_c2_g1,0.442343370859511
Oarb_100674_c0_g1,-0.00947327868306904
Oarb_100696_c0_g1,-0.138510379014965
Oarb_100698_c0_g1,1.44868061272039
Oarb_100698_c1_g1,-0.137045560396714
Oarb_100700_c1_g1,-0.660726657125307
Oarb_100702_c0_g1,4.25135855158748
Oarb_100719_c3_g1,-1.83052771966117
Oarb_100728_c0_g1,-0.596192852478658
Oarb_100735_c0_g1,-0.35319018544513
Oarb_10073_c0_g1,1.76906813998393
Oarb_100790_c1_g2,0.705380936304803
Oarb_100800_c0_g1,-0.303333085907851
Oarb_100813_c1_g1,0.23341519785036
Oarb_100828_c1_g1,1.84032371197999
Oarb_100839_c1_g1,3.78023139074069
Oarb_100844_c1_g1,-1.40828699511847
Oarb_100850_c0_g1,-1.02430741307526
Oarb_100857_c0_g3,-0.293441099306732
Oarb_100866_c2_g1,1.94977532957698
Oarb_100868_c0_g1,0.463826661857747
Oarb_100872_c2_g1,0.0601704865950201
Oarb_100875_c0_g1,0.423029093689811
Oarb_100884_c0_g1,-1.61587116879448
Oarb_100947_c0_g1,-0.36850589490262
Oarb_100963_c0_g1,-0.36380080826961
Oarb_100990_c1_g1,0.283337886331269
Oarb_100990_c1_g2,-0.299158639020091
Oarb_100998_c0_g1,0.875699385056784
Oarb_100998_c1_g1,1.60941558968571
Oarb_101066_c0_g1,-0.621895568707245
Oarb_101069_c1_g1,-0.208707374346878
Oarb_101077_c0_g1,0.402161332646284
Oarb_101085_c1_g2,-0.880559837050958
Oarb_101110_c0_g1,-1.17468636081327
Oarb_101111_c0_g2,1.62953612475561
Oarb_101117_c2_g1,-0.151621311441064
Oarb_101119_c0_g1,-0.0834965199954422
