Treat	Day	Mortality	X	symstat	food	trial
SF	15	2	S1F	S	F	1
SF	28	1	S2F	S	F	1
SF	28	1	S3F	S	F	1
SF	28	1	S4F	S	F	1
SF	28	1	S5F	S	F	1
SF	28	1	S6F	S	F	1
SF	28	1	S7F	S	F	1
SF	28	1	S8F	S	F	1
SF	28	1	S9F	S	F	1
SF	28	1	S10F	S	F	1
SF	28	1	S11F	S	F	1
SF	28	1	S12F	S	F	1
SF	28	1	S13F	S	F	1
SF	28	1	S14F	S	F	1
SF	28	1	S15F	S	F	1
SF	28	1	S16F	S	F	1
SF	28	1	S17F	S	F	1
SF	28	1	S18F	S	F	1
SF	28	1	S19F	S	F	1
SF	28	1	S20F	S	F	1
SF	28	1	S21F	S	F	1
SF	28	1	S22F	S	F	1
SF	28	1	S23F	S	F	1
SF	28	1	S24F	S	F	1
SF	28	1	S25F	S	F	2
SF	28	1	S26F	S	F	2
SF	28	1	S27F	S	F	2
SF	21	2	S28F	S	F	2
SF	15	2	S29F	S	F	2
SF	27	2	S30F	S	F	2
SF	28	1	S31F	S	F	2
SF	23	2	S32F	S	F	2
SF	23	2	S33F	S	F	2
SF	28	1	S34F	S	F	2
SF	28	1	S35F	S	F	2
SF	28	1	S36F	S	F	2
SF	28	1	S37F	S	F	2
SF	28	1	S38F	S	F	2
SF	28	1	S39F	S	F	2
SF	28	1	S40F	S	F	2
SF	28	1	S41F	S	F	2
SF	28	1	S42F	S	F	2
SF	28	1	S43F	S	F	2
SF	16	2	S44F	S	F	2
SF	17	2	S45F	S	F	2
SF	28	2	S46F	S	F	2
SF	28	1	S47F	S	F	2
SF	28	1	S48F	S	F	2
SS	2	2	S1S	S	S	1
SS	7	2	S2S	S	S	1
SS	7	2	S3S	S	S	1
SS	28	1	S4S	S	S	1
SS	5	2	S5S	S	S	1
SS	4	2	S6S	S	S	1
SS	6	2	S7S	S	S	1
SS	4	2	S8S	S	S	1
SS	28	1	S9S	S	S	1
SS	5	2	S10S	S	S	1
SS	3	2	S11S	S	S	1
SS	3	2	S12S	S	S	1
SS	3	2	S13S	S	S	1
SS	5	2	S14S	S	S	1
SS	6	2	S15S	S	S	1
SS	4	2	S16S	S	S	1
SS	28	1	S17S	S	S	1
SS	3	2	S18S	S	S	1
SS	4	2	S19S	S	S	1
SS	4	2	S20S	S	S	1
SS	3	2	S21S	S	S	1
SS	3	2	S22S	S	S	1
SS	2	2	S23S	S	S	1
SS	4	2	S24S	S	S	1
SS	3	2	S25S	S	S	2
SS	6	2	S26S	S	S	2
SS	3	2	S27S	S	S	2
SS	3	2	S28S	S	S	2
SS	3	2	S29S	S	S	2
SS	3	2	S30S	S	S	2
SS	7	2	S31S	S	S	2
SS	5	2	S32S	S	S	2
SS	3	2	S33S	S	S	2
SS	18	2	S34S	S	S	2
SS	23	2	S35S	S	S	2
SS	2	2	S36S	S	S	2
SS	28	1	S37S	S	S	2
SS	28	1	S38S	S	S	2
SS	13	2	S39S	S	S	2
SS	3	2	S40S	S	S	2
SS	3	2	S41S	S	S	2
SS	8	2	S42S	S	S	2
SS	7	2	S43S	S	S	2
SS	28	1	S44S	S	S	2
SS	28	1	S45S	S	S	2
SS	28	1	S46S	S	S	2
SS	3	2	S47S	S	S	2
SS	28	2	S48S	S	S	2
AF	28	1	A1F	A	F	1
AF	28	1	A2F	A	F	1
AF	28	1	A3F	A	F	1
AF	28	1	A4F	A	F	1
AF	28	1	A5F	A	F	1
AF	28	1	A6F	A	F	1
AF	28	1	A7F	A	F	1
AF	28	1	A8F	A	F	1
AF	28	1	A9F	A	F	1
AF	28	1	A10F	A	F	1
AF	28	1	A11F	A	F	1
AF	28	1	A12F	A	F	1
AF	28	1	A13F	A	F	1
AF	28	1	A14F	A	F	1
AF	28	1	A15F	A	F	1
AF	28	1	A16F	A	F	1
AF	28	1	A17F	A	F	1
AF	28	1	A18F	A	F	1
AF	28	1	A19F	A	F	1
AF	28	1	A20F	A	F	1
AF	5	2	A21F	A	F	1
AF	28	1	A22F	A	F	1
AF	28	1	A23F	A	F	1
AF	28	1	A24F	A	F	1
AF	25	2	A25F	A	F	2
AF	28	1	A26F	A	F	2
AF	28	1	A27F	A	F	2
AF	28	1	A28F	A	F	2
AF	28	1	A29F	A	F	2
AF	28	1	A30F	A	F	2
AF	28	1	A31F	A	F	2
AF	28	1	A32F	A	F	2
AF	28	1	A33F	A	F	2
AF	28	1	A34F	A	F	2
AF	28	1	A35F	A	F	2
AF	28	1	A36F	A	F	2
AF	28	1	A37F	A	F	2
AF	28	1	A38F	A	F	2
AF	28	1	A39F	A	F	2
AF	28	1	A40F	A	F	2
AF	28	1	A41F	A	F	2
AF	28	1	A42F	A	F	2
AF	28	1	A43F	A	F	2
AF	28	1	A44F	A	F	2
AF	28	1	A45F	A	F	2
AF	28	1	A46F	A	F	2
AF	28	1	A47F	A	F	2
AF	28	1	A48F	A	F	2
AS	28	1	A1S	A	S	1
AS	27	2	A2S	A	S	1
AS	28	1	A3S	A	S	1
AS	8	2	A4S	A	S	1
AS	25	2	A5S	A	S	1
AS	21	2	A6S	A	S	1
AS	12	2	A7S	A	S	1
AS	10	2	A8S	A	S	1
AS	6	2	A9S	A	S	1
AS	8	2	A10S	A	S	1
AS	5	2	A11S	A	S	1
AS	4	2	A12S	A	S	1
AS	6	2	A13S	A	S	1
AS	7	2	A14S	A	S	1
AS	28	1	A15S	A	S	1
AS	20	2	A16S	A	S	1
AS	4	2	A17S	A	S	1
AS	7	2	A18S	A	S	1
AS	15	2	A19S	A	S	1
AS	6	2	A20S	A	S	1
AS	24	2	A21S	A	S	1
AS	10	2	A22S	A	S	1
AS	9	2	A23S	A	S	1
AS	6	2	A24S	A	S	1
AS	14	2	A25S	A	S	2
AS	6	2	A26S	A	S	2
AS	23	2	A27S	A	S	2
AS	4	2	A28S	A	S	2
AS	10	2	A29S	A	S	2
AS	4	2	A30S	A	S	2
AS	7	2	A31S	A	S	2
AS	5	2	A32S	A	S	2
AS	5	2	A33S	A	S	2
AS	3	2	A34S	A	S	2
AS	5	2	A35S	A	S	2
AS	4	2	A36S	A	S	2
AS	6	2	A37S	A	S	2
AS	6	2	A38S	A	S	2
AS	6	2	A39S	A	S	2
AS	8	2	A40S	A	S	2
AS	5	2	A41S	A	S	2
AS	10	2	A42S	A	S	2
AS	7	2	A43S	A	S	2
AS	3	2	A44S	A	S	2
AS	3	2	A45S	A	S	2
AS	3	2	A46S	A	S	2
AS	5	2	A47S	A	S	2
AS	5	2	A48S	A	S	2
