	S1F.fastq.trim.sam.counts	S1S.fastq.trim.sam.counts	S2F.fastq.trim.sam.counts	S2S.fastq.trim.sam.counts	S3F.fastq.trim.sam.counts	S3S.fastq.trim.sam.counts	S4F.fastq.trim.sam.counts	S4S.fastq.trim.sam.counts	S5F.fastq.trim.sam.counts	S5S.fastq.trim.sam.counts	
symbB.v1.2.000922	0	0	0	0	0	0	2	0	0	0	
symbB.v1.2.000924	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.000925	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.000926	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.000930	0	5	2	1	3	4	2	1	2	4	
symbB.v1.2.000934	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.000948	2	3	2	4	3	4	5	2	2	3	
symbB.v1.2.000972	0	1	0	0	0	0	0	1	0	0	
symbB.v1.2.000974	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.000976	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.000986	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.000994	0	0	0	0	0	0	1	2	0	0	
symbB.v1.2.000995	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.001005	1	0	0	0	0	0	0	0	0	0	
symbB.v1.2.001013	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.001015	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.001025	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.001032	2	1	1	0	0	2	1	1	1	3	
symbB.v1.2.001035	0	0	0	0	0	0	3	0	1	0	
symbB.v1.2.001047	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.001070	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.001077	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.001082	1	1	0	0	0	0	0	0	0	1	
symbB.v1.2.001085	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.001108	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.001111	5	9	2	2	4	3	0	3	5	2	
symbB.v1.2.001124	0	0	2	1	0	1	0	0	0	0	
symbB.v1.2.001157	1	0	0	0	0	0	0	0	0	0	
symbB.v1.2.001173	1	0	0	0	0	0	0	0	0	0	
symbB.v1.2.001196	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.001206	278	292	267	184	177	198	209	237	255	272	
symbB.v1.2.001213	0	0	0	0	0	1	0	0	0	0	
symbB.v1.2.001234	0	0	0	0	1	0	0	1	1	0	
symbB.v1.2.001285	0	1	0	0	0	0	1	0	0	0	
symbB.v1.2.001288	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.001298	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.001301	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.001306	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.001311	0	0	0	0	0	0	0	0	0	1	
symbB.v1.2.001314	3	0	0	0	0	0	0	0	1	0	
symbB.v1.2.001319	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.001322	0	0	0	0	0	0	1	0	0	1	
symbB.v1.2.001328	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.001333	0	0	0	0	0	1	0	0	0	1	
symbB.v1.2.001356	1	0	1	0	1	1	0	1	0	0	
symbB.v1.2.001369	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.001391	0	0	1	0	0	1	0	0	0	0	
symbB.v1.2.001396	1	3	7	0	3	0	2	4	1	5	
symbB.v1.2.001398	8	4	6	5	1	8	4	5	6	10	
symbB.v1.2.001418	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.001431	0	0	0	0	0	0	0	0	0	1	
symbB.v1.2.001435	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.001438	1	0	0	0	0	0	0	0	0	0	
symbB.v1.2.001441	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.001455	1	0	0	0	0	0	0	0	0	0	
symbB.v1.2.001473	0	1	2	0	0	1	0	1	0	0	
symbB.v1.2.001485	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.001531	2	0	2	0	1	0	1	1	0	0	
