	S1F.fastq.trim.sam.counts	S1S.fastq.trim.sam.counts	S2F.fastq.trim.sam.counts	S2S.fastq.trim.sam.counts	S3F.fastq.trim.sam.counts	S3S.fastq.trim.sam.counts	S4F.fastq.trim.sam.counts	S4S.fastq.trim.sam.counts	S5F.fastq.trim.sam.counts	S5S.fastq.trim.sam.counts	
Slin_CCMP2456.gene14563.mRNA1	1	1	0	0	0	1	0	0	0	0	
Slin_CCMP2456.gene14565.mRNA1	1	0	0	0	1	0	0	4	1	0	
Slin_CCMP2456.gene14567.mRNA1	1	2	1	1	0	2	0	2	3	2	
Slin_CCMP2456.gene14569.mRNA1	5	8	2	1	2	8	2	9	5	10	
Slin_CCMP2456.gene1457.mRNA1	0	0	1	0	0	0	0	0	0	0	
Slin_CCMP2456.gene14573.mRNA1	1	0	0	0	0	0	0	0	0	0	
Slin_CCMP2456.gene14577.mRNA1	0	1	0	0	0	0	0	0	0	0	
Slin_CCMP2456.gene14578.mRNA1	0	0	0	2	1	2	0	2	1	1	
Slin_CCMP2456.gene14579.mRNA1	2	11	7	3	3	3	8	9	3	7	
Slin_CCMP2456.gene14580.mRNA1	1	0	0	0	0	0	0	0	0	0	
Slin_CCMP2456.gene14581.mRNA1	0	0	0	0	0	1	0	0	1	0	
Slin_CCMP2456.gene14586.mRNA1	4	0	7	1	1	3	3	3	1	3	
Slin_CCMP2456.gene14587.mRNA1	0	1	0	0	0	0	0	0	0	0	
Slin_CCMP2456.gene14589.mRNA1	1	8	2	1	1	5	2	4	2	4	
Slin_CCMP2456.gene1459.mRNA1	2	4	3	0	1	2	0	0	2	3	
Slin_CCMP2456.gene14591.mRNA1	0	0	0	0	0	0	1	0	0	0	
Slin_CCMP2456.gene14593.mRNA1	3	0	4	5	0	8	4	5	1	6	
Slin_CCMP2456.gene14594.mRNA1	3	5	5	2	4	2	5	5	1	2	
Slin_CCMP2456.gene14597.mRNA1	0	0	1	0	1	1	0	2	0	0	
Slin_CCMP2456.gene14598.mRNA1	1	0	0	0	0	0	0	0	0	0	
Slin_CCMP2456.gene14599.mRNA1	0	4	5	2	1	4	1	3	1	2	
Slin_CCMP2456.gene14600.mRNA1	1	0	1	0	2	1	3	2	1	3	
Slin_CCMP2456.gene14602.mRNA1	3	7	4	4	6	10	5	14	4	5	
Slin_CCMP2456.gene14603.mRNA1	0	1	1	0	0	0	0	0	0	0	
Slin_CCMP2456.gene14605.mRNA1	0	0	0	0	0	0	0	1	0	0	
Slin_CCMP2456.gene14606.mRNA1	0	0	0	1	0	1	0	1	1	1	
Slin_CCMP2456.gene14608.mRNA1	1	1	0	0	0	0	0	0	0	0	
Slin_CCMP2456.gene14609.mRNA1	0	1	3	1	2	0	1	2	2	1	
Slin_CCMP2456.gene14611.mRNA1	0	2	0	1	2	0	0	4	1	1	
Slin_CCMP2456.gene14612.mRNA1	13	16	15	15	11	17	12	14	19	11	
Slin_CCMP2456.gene14623.mRNA1	1	0	0	0	0	0	0	4	0	1	
Slin_CCMP2456.gene14624.mRNA1	0	1	1	0	1	0	0	0	0	0	
Slin_CCMP2456.gene1463.mRNA1	0	0	0	0	0	0	0	1	0	0	
Slin_CCMP2456.gene14631.mRNA1	1	0	0	0	0	1	1	0	1	0	
Slin_CCMP2456.gene14634.mRNA1	0	0	0	0	1	0	0	0	0	0	
Slin_CCMP2456.gene14635.mRNA1	0	0	0	0	0	0	0	0	1	0	
Slin_CCMP2456.gene14636.mRNA1	3	11	8	3	8	4	2	9	5	9	
Slin_CCMP2456.gene14637.mRNA1	0	0	1	0	0	0	0	1	0	0	
Slin_CCMP2456.gene14638.mRNA1	5	9	4	9	5	8	2	13	1	8	
Slin_CCMP2456.gene14639.mRNA1	5	7	2	4	6	8	4	8	9	8	
Slin_CCMP2456.gene1464.mRNA1	4	3	2	0	0	1	2	2	1	1	
Slin_CCMP2456.gene14640.mRNA1	1	5	1	0	0	2	3	5	2	0	
Slin_CCMP2456.gene14641.mRNA1	15	13	17	7	11	21	11	12	12	19	
Slin_CCMP2456.gene14642.mRNA1	9	3	7	7	3	3	2	2	1	5	
Slin_CCMP2456.gene14645.mRNA1	0	0	1	0	0	0	0	1	0	1	
Slin_CCMP2456.gene14646.mRNA1	1	0	0	0	0	1	0	0	0	1	
Slin_CCMP2456.gene14647.mRNA1	0	1	0	0	1	3	0	0	1	0	
Slin_CCMP2456.gene14648.mRNA1	4	4	1	3	2	1	1	3	2	2	
Slin_CCMP2456.gene14649.mRNA1	0	1	0	0	0	1	0	0	0	0	
Slin_CCMP2456.gene14652.mRNA1	1	0	2	1	0	0	0	1	1	0	
Slin_CCMP2456.gene14656.mRNA1	0	0	0	0	1	1	1	1	0	1	
Slin_CCMP2456.gene14663.mRNA1	2	3	1	1	1	1	0	3	1	1	
Slin_CCMP2456.gene14664.mRNA1	0	0	2	1	2	1	1	2	1	1	
Slin_CCMP2456.gene14665.mRNA1	0	0	1	1	0	0	0	0	2	0	
Slin_CCMP2456.gene14667.mRNA1	1	1	0	0	0	1	0	0	0	1	
Slin_CCMP2456.gene14668.mRNA1	1	0	0	1	0	0	0	0	0	0	
Slin_CCMP2456.gene1467.mRNA1	0	0	0	1	0	1	1	0	0	0	
Slin_CCMP2456.gene14671.mRNA1	0	1	0	0	0	1	0	0	1	1	
Slin_CCMP2456.gene14672.mRNA1	0	0	1	0	0	0	0	0	1	0	
Slin_CCMP2456.gene14674.mRNA1	0	0	1	0	1	1	0	0	0	0	
Slin_CCMP2456.gene1468.mRNA1	1	2	0	0	0	2	1	1	0	2	
Slin_CCMP2456.gene14680.mRNA1	5	6	3	2	2	3	4	6	1	2	
Slin_CCMP2456.gene14683.mRNA1	2	5	6	0	1	2	2	5	3	7	
Slin_CCMP2456.gene14685.mRNA1	0	0	0	0	0	0	0	1	0	0	
Slin_CCMP2456.gene14686.mRNA1	0	0	0	0	1	0	1	0	0	0	
Slin_CCMP2456.gene14687.mRNA1	1	1	1	2	0	1	1	1	1	4	
Slin_CCMP2456.gene14690.mRNA1	1	0	0	0	0	0	0	0	0	0	
Slin_CCMP2456.gene14693.mRNA1	0	0	0	0	1	0	1	1	0	0	
Slin_CCMP2456.gene14696.mRNA1	2	5	2	1	0	2	2	3	0	1	
Slin_CCMP2456.gene14698.mRNA1	0	0	0	0	0	1	0	0	0	0	
Slin_CCMP2456.gene14699.mRNA1	2	7	7	3	2	6	2	9	2	1	
Slin_CCMP2456.gene147.mRNA1	0	1	0	0	0	0	0	0	0	1	
Slin_CCMP2456.gene1470.mRNA1	3	8	9	2	4	12	1	3	2	5	
Slin_CCMP2456.gene14700.mRNA1	1	1	1	4	0	3	0	1	1	0	
Slin_CCMP2456.gene14701.mRNA1	0	3	3	0	0	4	3	2	1	1	
Slin_CCMP2456.gene14704.mRNA1	1	3	1	3	1	0	1	10	2	2	
Slin_CCMP2456.gene14706.mRNA1	0	0	0	0	0	0	1	0	0	0	
Slin_CCMP2456.gene14707.mRNA1	3	6	13	1	4	9	4	3	2	5	
Slin_CCMP2456.gene14708.mRNA1	3	8	1	1	1	2	3	5	1	3	
Slin_CCMP2456.gene14709.mRNA1	3	7	6	2	4	3	6	9	4	4	
Slin_CCMP2456.gene1471.mRNA1	0	1	0	0	0	0	0	0	0	0	
Slin_CCMP2456.gene14710.mRNA1	0	1	3	1	3	1	3	2	1	3	
Slin_CCMP2456.gene14717.mRNA1	0	0	0	1	0	0	0	0	0	0	
Slin_CCMP2456.gene14719.mRNA1	4	11	6	2	8	3	7	7	4	5	
Slin_CCMP2456.gene14721.mRNA1	2	4	1	1	2	1	1	5	4	0	
Slin_CCMP2456.gene14723.mRNA1	14	17	11	6	15	19	10	17	11	12	
Slin_CCMP2456.gene14724.mRNA1	1	3	5	1	1	2	1	1	3	4	
Slin_CCMP2456.gene14726.mRNA1	2	1	1	0	3	3	0	1	1	0	
Slin_CCMP2456.gene14727.mRNA1	0	1	0	0	0	0	0	0	0	0	
Slin_CCMP2456.gene14728.mRNA1	3	1	0	1	2	1	2	2	1	0	
Slin_CCMP2456.gene14729.mRNA1	24	38	32	22	20	35	30	33	26	30	
Slin_CCMP2456.gene1473.mRNA1	1	2	1	0	0	1	0	0	1	1	
Slin_CCMP2456.gene14732.mRNA1	0	0	1	1	0	1	0	0	0	0	
Slin_CCMP2456.gene14734.mRNA1	2	4	2	2	1	4	2	1	0	0	
Slin_CCMP2456.gene14735.mRNA1	5	12	5	10	4	12	7	5	3	8	
Slin_CCMP2456.gene14737.mRNA1	1	2	1	0	1	0	0	5	0	1	
Slin_CCMP2456.gene14738.mRNA1	4	6	3	1	1	7	6	7	4	2	
Slin_CCMP2456.gene1474.mRNA1	0	0	0	0	0	1	0	0	0	0	
Slin_CCMP2456.gene14740.mRNA1	0	4	3	0	1	3	1	3	4	1	
Slin_CCMP2456.gene14741.mRNA1	2	2	2	1	0	2	2	0	1	0	
Slin_CCMP2456.gene14742.mRNA1	11	17	16	5	10	21	5	9	8	23	
Slin_CCMP2456.gene14743.mRNA1	28	35	23	9	17	25	22	31	24	25	
Slin_CCMP2456.gene14744.mRNA1	1	0	0	0	2	1	0	0	0	0	
Slin_CCMP2456.gene14745.mRNA1	4	5	2	3	2	2	3	5	0	0	
Slin_CCMP2456.gene14746.mRNA1	15	17	15	3	5	16	13	15	5	9	
Slin_CCMP2456.gene14748.mRNA1	3	12	11	3	6	6	8	8	12	6	
Slin_CCMP2456.gene14749.mRNA1	107	184	152	81	103	153	88	178	91	133	
Slin_CCMP2456.gene1475.mRNA1	2	9	3	2	2	8	2	7	7	12	
Slin_CCMP2456.gene14750.mRNA1	8	9	4	3	3	3	2	5	3	4	
Slin_CCMP2456.gene14756.mRNA1	0	0	0	1	0	1	1	0	0	2	
Slin_CCMP2456.gene14762.mRNA1	7	21	5	9	11	10	7	15	9	14	
Slin_CCMP2456.gene14764.mRNA1	1	0	0	0	0	0	0	0	0	0	
Slin_CCMP2456.gene14766.mRNA1	0	0	0	0	0	0	1	0	0	0	
Slin_CCMP2456.gene14767.mRNA1	0	0	0	0	0	0	0	1	0	0	
Slin_CCMP2456.gene1477.mRNA1	4	3	4	0	2	5	1	3	0	0	
Slin_CCMP2456.gene14771.mRNA1	1	4	4	2	2	1	4	2	0	1	
Slin_CCMP2456.gene14772.mRNA1	0	0	0	0	0	1	0	0	0	0	
Slin_CCMP2456.gene14774.mRNA1	1	2	0	1	0	2	0	2	0	1	
Slin_CCMP2456.gene14775.mRNA1	1	1	1	2	0	1	2	0	2	4	
Slin_CCMP2456.gene14776.mRNA1	2	3	1	0	0	3	3	4	1	2	
Slin_CCMP2456.gene14777.mRNA1	0	5	1	0	0	0	2	2	1	0	
Slin_CCMP2456.gene14778.mRNA1	0	1	0	0	0	2	0	0	0	0	
Slin_CCMP2456.gene14782.mRNA1	1	2	3	1	3	0	1	4	1	3	
Slin_CCMP2456.gene14783.mRNA1	0	0	0	0	0	0	0	1	0	0	
Slin_CCMP2456.gene14784.mRNA1	3	0	1	2	1	0	1	1	0	1	
Slin_CCMP2456.gene14785.mRNA1	0	0	2	1	0	1	0	0	1	0	
Slin_CCMP2456.gene14786.mRNA1	0	2	1	1	2	0	1	1	1	1	
Slin_CCMP2456.gene14788.mRNA1	3	7	2	0	2	3	0	4	5	6	
Slin_CCMP2456.gene14789.mRNA1	9	3	5	1	3	1	7	1	4	3	
Slin_CCMP2456.gene1479.mRNA1	3	1	0	0	0	0	1	2	2	2	
Slin_CCMP2456.gene14790.mRNA1	0	0	0	1	0	0	0	0	0	0	
Slin_CCMP2456.gene14791.mRNA1	0	0	0	0	0	0	0	0	1	0	
Slin_CCMP2456.gene14796.mRNA1	1	4	3	0	1	1	0	1	0	1	
Slin_CCMP2456.gene14797.mRNA1	1	1	0	0	0	0	0	0	0	0	
Slin_CCMP2456.gene148.mRNA1	6	4	7	3	4	3	6	5	1	3	
Slin_CCMP2456.gene1480.mRNA1	0	1	0	0	0	1	0	0	0	0	
Slin_CCMP2456.gene14800.mRNA1	0	6	3	2	3	6	1	5	1	1	
Slin_CCMP2456.gene14802.mRNA1	2	2	0	1	0	2	2	1	2	0	
Slin_CCMP2456.gene14805.mRNA1	0	0	1	1	0	0	0	0	0	0	
Slin_CCMP2456.gene14809.mRNA1	3	5	2	1	1	7	2	2	3	5	
Slin_CCMP2456.gene14810.mRNA1	0	3	3	2	0	1	1	0	1	1	
Slin_CCMP2456.gene14813.mRNA1	0	0	1	0	0	1	0	2	1	0	
Slin_CCMP2456.gene14814.mRNA1	0	1	0	0	0	0	0	0	0	0	
Slin_CCMP2456.gene14816.mRNA1	0	0	1	0	0	0	0	0	0	1	
Slin_CCMP2456.gene14817.mRNA1	0	0	0	1	1	0	0	0	0	2	
Slin_CCMP2456.gene14819.mRNA1	0	0	0	0	2	0	0	0	0	0	
Slin_CCMP2456.gene14820.mRNA1	3	7	4	4	1	9	2	6	0	5	
Slin_CCMP2456.gene14823.mRNA1	3	3	2	1	2	1	2	2	3	2	
Slin_CCMP2456.gene14824.mRNA1	0	0	0	0	1	1	0	0	0	0	
Slin_CCMP2456.gene14827.mRNA1	0	0	0	0	2	1	2	3	1	1	
Slin_CCMP2456.gene1483.mRNA1	4	2	3	1	4	3	4	6	3	5	
Slin_CCMP2456.gene14832.mRNA1	0	1	2	4	2	0	2	0	0	2	
Slin_CCMP2456.gene1484.mRNA1	2	9	8	1	3	4	1	8	3	9	
Slin_CCMP2456.gene14841.mRNA1	0	2	0	0	0	0	0	0	0	0	
Slin_CCMP2456.gene14842.mRNA1	1	2	5	8	5	4	2	9	9	6	
Slin_CCMP2456.gene14843.mRNA1	0	1	1	0	1	0	0	1	0	0	
Slin_CCMP2456.gene14844.mRNA1	1	1	1	0	0	0	0	1	0	1	
Slin_CCMP2456.gene14851.mRNA1	1	6	4	0	1	4	2	2	2	3	
Slin_CCMP2456.gene14855.mRNA1	1	1	0	0	0	1	0	0	1	0	
Slin_CCMP2456.gene14858.mRNA1	0	1	1	0	2	0	0	2	0	2	
Slin_CCMP2456.gene1486.mRNA1	1	4	2	0	2	2	1	1	2	3	
Slin_CCMP2456.gene14860.mRNA1	0	0	0	1	0	0	0	0	0	0	
Slin_CCMP2456.gene14862.mRNA1	0	1	0	0	0	0	0	0	0	0	
Slin_CCMP2456.gene14866.mRNA1	0	0	0	0	1	0	0	2	1	1	
Slin_CCMP2456.gene14872.mRNA1	0	1	2	0	0	0	0	0	0	0	
Slin_CCMP2456.gene14875.mRNA1	0	0	0	0	1	1	0	0	0	0	
Slin_CCMP2456.gene14877.mRNA1	0	4	0	0	1	1	2	0	0	2	
Slin_CCMP2456.gene1488.mRNA1	1	1	0	0	1	0	1	1	0	0	
Slin_CCMP2456.gene14883.mRNA1	0	1	0	0	0	0	1	0	1	0	
Slin_CCMP2456.gene14884.mRNA1	0	0	0	0	1	1	0	0	0	0	
Slin_CCMP2456.gene14885.mRNA1	0	0	0	0	0	0	0	1	0	0	
Slin_CCMP2456.gene14886.mRNA1	0	0	0	0	0	0	0	0	0	1	
Slin_CCMP2456.gene14887.mRNA1	0	1	1	4	0	3	2	1	1	0	
Slin_CCMP2456.gene14888.mRNA1	1	2	1	0	2	1	0	0	1	0	
Slin_CCMP2456.gene14889.mRNA1	0	1	0	1	0	4	1	4	2	1	
Slin_CCMP2456.gene14890.mRNA1	0	1	0	0	0	0	0	1	1	0	
Slin_CCMP2456.gene14893.mRNA1	0	0	0	0	2	1	0	0	0	0	
Slin_CCMP2456.gene14894.mRNA1	1	0	0	1	0	0	0	0	0	0	
Slin_CCMP2456.gene14896.mRNA1	1	3	2	0	1	0	2	2	0	4	
Slin_CCMP2456.gene14897.mRNA1	6	7	7	5	3	11	8	8	7	6	
Slin_CCMP2456.gene14898.mRNA1	0	2	0	1	0	1	0	0	0	0	
Slin_CCMP2456.gene149.mRNA1	0	0	0	0	0	0	0	1	0	0	
Slin_CCMP2456.gene1490.mRNA1	3	4	4	2	2	1	1	2	2	3	
Slin_CCMP2456.gene14900.mRNA1	1	1	2	1	1	0	0	1	1	2	
Slin_CCMP2456.gene14901.mRNA1	0	0	0	0	0	1	0	0	0	0	
Slin_CCMP2456.gene14902.mRNA1	5	4	9	2	2	9	8	6	7	11	
Slin_CCMP2456.gene14903.mRNA1	2	4	7	6	2	3	4	4	3	4	
Slin_CCMP2456.gene14904.mRNA1	2	6	3	3	5	6	1	0	0	2	
Slin_CCMP2456.gene14905.mRNA1	0	0	1	0	0	0	0	0	1	0	
Slin_CCMP2456.gene14906.mRNA1	0	2	2	0	1	3	1	2	1	1	
Slin_CCMP2456.gene14907.mRNA1	1	0	0	0	1	0	0	0	2	2	
Slin_CCMP2456.gene14908.mRNA1	0	0	1	0	0	0	1	2	1	1	
Slin_CCMP2456.gene14911.mRNA1	3	1	2	1	0	0	0	0	0	1	
Slin_CCMP2456.gene14912.mRNA1	1	0	0	0	0	1	0	1	1	0	
Slin_CCMP2456.gene14914.mRNA1	2	3	2	2	2	4	1	2	0	3	
Slin_CCMP2456.gene14915.mRNA1	3	1	0	0	0	1	0	4	1	1	
Slin_CCMP2456.gene14917.mRNA1	1	0	0	0	0	0	0	0	0	0	
Slin_CCMP2456.gene14918.mRNA1	2	4	0	2	5	10	3	5	3	8	
Slin_CCMP2456.gene14919.mRNA1	19	27	17	14	16	19	20	17	19	20	
Slin_CCMP2456.gene1492.mRNA1	0	6	2	1	1	0	0	1	0	2	
Slin_CCMP2456.gene14920.mRNA1	1	0	3	0	2	2	1	2	3	2	
Slin_CCMP2456.gene14922.mRNA1	12	17	7	6	4	16	6	11	10	7	
Slin_CCMP2456.gene14923.mRNA1	0	0	0	0	0	1	0	0	0	0	
Slin_CCMP2456.gene14924.mRNA1	0	2	4	1	3	2	2	4	1	7	
Slin_CCMP2456.gene14925.mRNA1	0	1	0	0	1	0	1	0	0	0	
Slin_CCMP2456.gene14926.mRNA1	10	17	16	3	2	12	4	11	8	1	
Slin_CCMP2456.gene14929.mRNA1	0	0	0	0	1	0	1	2	0	1	
Slin_CCMP2456.gene1493.mRNA1	11	9	6	2	5	4	7	6	1	6	
Slin_CCMP2456.gene14932.mRNA1	0	0	0	0	0	0	0	1	0	0	
Slin_CCMP2456.gene14933.mRNA1	2	2	1	1	0	0	1	0	1	0	
Slin_CCMP2456.gene14934.mRNA1	5	2	4	2	0	4	3	7	2	6	
Slin_CCMP2456.gene14935.mRNA1	1	1	0	0	0	1	0	0	0	1	
Slin_CCMP2456.gene14936.mRNA1	6	6	4	0	4	4	2	4	4	6	
Slin_CCMP2456.gene14938.mRNA1	1	0	0	1	0	0	0	1	0	1	
Slin_CCMP2456.gene14939.mRNA1	7	4	5	0	3	3	4	7	6	6	
Slin_CCMP2456.gene1494.mRNA1	0	0	1	1	1	0	0	1	1	1	
Slin_CCMP2456.gene14940.mRNA1	0	0	0	3	0	3	0	1	0	0	
Slin_CCMP2456.gene14943.mRNA1	23	57	38	19	22	44	22	59	28	38	
Slin_CCMP2456.gene14944.mRNA1	1	0	0	0	1	0	0	0	0	0	
Slin_CCMP2456.gene14946.mRNA1	4	12	4	1	6	12	1	12	12	6	
Slin_CCMP2456.gene14948.mRNA1	0	0	0	0	0	0	0	0	0	1	
Slin_CCMP2456.gene14949.mRNA1	0	0	0	0	0	1	0	0	0	0	
Slin_CCMP2456.gene1495.mRNA1	0	0	0	0	0	0	0	1	0	2	
Slin_CCMP2456.gene14950.mRNA1	0	0	3	0	2	1	1	1	0	2	
Slin_CCMP2456.gene14951.mRNA1	2	5	3	1	1	1	1	2	3	4	
Slin_CCMP2456.gene14952.mRNA1	10	11	10	4	8	12	12	13	3	11	
Slin_CCMP2456.gene14957.mRNA1	0	1	0	0	0	0	0	0	0	0	
Slin_CCMP2456.gene1496.mRNA1	8	9	6	6	4	8	9	8	4	12	
Slin_CCMP2456.gene14960.mRNA1	2	4	3	2	4	5	4	10	3	3	
Slin_CCMP2456.gene14961.mRNA1	3	3	3	2	3	5	3	5	1	2	
Slin_CCMP2456.gene14963.mRNA1	0	1	0	0	0	0	0	2	0	0	
Slin_CCMP2456.gene14964.mRNA1	3	3	1	3	1	2	1	5	2	2	
Slin_CCMP2456.gene14965.mRNA1	0	1	0	0	2	3	0	2	1	1	
Slin_CCMP2456.gene14966.mRNA1	0	0	0	0	0	0	0	1	0	0	
Slin_CCMP2456.gene14969.mRNA1	1	4	4	2	1	4	4	10	4	3	
Slin_CCMP2456.gene1497.mRNA1	3	6	9	3	0	6	1	5	1	4	
Slin_CCMP2456.gene14970.mRNA1	0	3	0	0	0	1	0	0	0	0	
Slin_CCMP2456.gene14971.mRNA1	0	0	1	0	0	0	0	1	0	0	
Slin_CCMP2456.gene14972.mRNA1	0	0	1	1	0	0	0	0	1	2	
Slin_CCMP2456.gene14973.mRNA1	0	0	0	0	0	0	0	0	1	0	
Slin_CCMP2456.gene14974.mRNA1	0	1	5	2	4	2	1	2	2	3	
Slin_CCMP2456.gene14977.mRNA1	1	2	2	0	1	2	0	0	0	0	
Slin_CCMP2456.gene14978.mRNA1	5	2	0	1	2	2	0	0	0	1	
Slin_CCMP2456.gene14980.mRNA1	1	0	0	0	0	0	0	0	0	0	
Slin_CCMP2456.gene14988.mRNA1	2	4	8	4	5	8	4	4	6	3	
Slin_CCMP2456.gene14989.mRNA1	2	4	4	1	4	4	0	4	3	1	
Slin_CCMP2456.gene14990.mRNA1	0	2	1	0	0	1	1	0	0	0	
Slin_CCMP2456.gene14991.mRNA1	1	0	0	0	0	0	0	0	0	0	
Slin_CCMP2456.gene14992.mRNA1	4	4	3	4	1	3	2	2	3	3	
Slin_CCMP2456.gene14996.mRNA1	0	0	0	0	0	0	1	0	0	0	
Slin_CCMP2456.gene14997.mRNA1	0	2	0	0	0	0	1	1	1	2	
Slin_CCMP2456.gene14999.mRNA1	14	22	17	11	10	19	7	26	14	16	
Slin_CCMP2456.gene1500.mRNA1	1	0	0	0	1	0	0	0	0	3	
Slin_CCMP2456.gene15001.mRNA1	7	10	12	9	7	10	2	17	10	7	
Slin_CCMP2456.gene15003.mRNA1	6	8	5	1	3	4	4	2	1	7	
Slin_CCMP2456.gene15006.mRNA1	1	0	1	0	0	1	0	0	2	0	
Slin_CCMP2456.gene15009.mRNA1	2	0	2	0	0	1	0	8	1	0	
Slin_CCMP2456.gene1501.mRNA1	1	0	0	1	0	1	1	0	0	0	
Slin_CCMP2456.gene15010.mRNA1	0	1	2	0	0	2	1	0	0	0	
Slin_CCMP2456.gene15011.mRNA1	1	6	4	3	4	6	5	5	1	5	
Slin_CCMP2456.gene15012.mRNA1	2	1	1	1	1	0	0	1	0	1	
Slin_CCMP2456.gene15013.mRNA1	0	4	3	2	1	0	1	2	2	2	
Slin_CCMP2456.gene15014.mRNA1	3	10	5	1	3	1	2	8	1	7	
Slin_CCMP2456.gene15015.mRNA1	0	3	2	2	1	10	3	4	6	4	
Slin_CCMP2456.gene15016.mRNA1	1	1	1	2	0	1	0	2	1	1	
Slin_CCMP2456.gene15017.mRNA1	0	2	0	0	0	0	0	1	0	0	
Slin_CCMP2456.gene15018.mRNA1	0	1	0	0	0	0	0	0	0	0	
Slin_CCMP2456.gene15019.mRNA1	2	2	2	0	0	0	0	1	1	2	
Slin_CCMP2456.gene15021.mRNA1	0	2	0	0	1	1	0	1	0	2	
Slin_CCMP2456.gene15022.mRNA1	0	3	2	0	3	0	0	3	1	4	
Slin_CCMP2456.gene15023.mRNA1	1	2	3	2	6	5	2	3	1	4	
Slin_CCMP2456.gene15024.mRNA1	0	0	0	1	0	0	0	0	0	0	
Slin_CCMP2456.gene15025.mRNA1	0	1	0	0	1	1	0	1	0	0	
Slin_CCMP2456.gene15026.mRNA1	0	1	0	0	0	0	0	0	0	0	
Slin_CCMP2456.gene15027.mRNA1	2	3	5	1	1	3	2	0	0	3	
Slin_CCMP2456.gene15030.mRNA1	0	3	0	3	0	1	2	0	2	3	
Slin_CCMP2456.gene15036.mRNA1	47	75	53	29	42	65	38	66	32	70	
Slin_CCMP2456.gene15038.mRNA1	1	6	3	2	0	2	0	3	0	2	
Slin_CCMP2456.gene15046.mRNA1	0	0	0	0	1	0	0	0	0	0	
Slin_CCMP2456.gene15049.mRNA1	1	0	0	0	0	0	0	0	0	0	
Slin_CCMP2456.gene1505.mRNA1	2	2	2	0	0	1	2	2	2	0	
Slin_CCMP2456.gene15050.mRNA1	1	0	0	0	0	0	0	0	1	0	
Slin_CCMP2456.gene15053.mRNA1	19	35	37	19	31	45	27	31	16	26	
Slin_CCMP2456.gene15059.mRNA1	0	1	1	0	0	0	0	2	0	0	
Slin_CCMP2456.gene15062.mRNA1	1	1	3	3	2	2	3	5	2	2	
Slin_CCMP2456.gene15063.mRNA1	5	5	6	2	3	0	1	4	1	5	
Slin_CCMP2456.gene15064.mRNA1	2	6	2	2	3	4	2	2	2	4	
Slin_CCMP2456.gene15065.mRNA1	0	0	0	1	0	0	0	0	0	0	
Slin_CCMP2456.gene15066.mRNA1	2	1	1	0	1	4	1	6	3	6	
Slin_CCMP2456.gene15068.mRNA1	1	3	4	3	4	4	2	2	4	6	
Slin_CCMP2456.gene15069.mRNA1	0	3	1	1	2	3	1	1	2	0	
Slin_CCMP2456.gene15070.mRNA1	0	1	2	0	0	0	2	0	1	1	
Slin_CCMP2456.gene15071.mRNA1	4	7	7	3	4	4	3	3	5	3	
Slin_CCMP2456.gene15072.mRNA1	0	0	0	0	0	0	0	2	0	0	
Slin_CCMP2456.gene15080.mRNA1	1	0	2	1	2	0	2	1	2	2	
Slin_CCMP2456.gene15081.mRNA1	2	2	3	3	4	7	1	2	2	5	
Slin_CCMP2456.gene15082.mRNA1	2	1	0	0	2	1	0	1	1	1	
Slin_CCMP2456.gene15085.mRNA1	0	0	2	0	3	0	2	0	3	1	
Slin_CCMP2456.gene1509.mRNA1	1	6	1	2	2	3	4	3	1	0	
Slin_CCMP2456.gene15090.mRNA1	0	0	2	0	0	0	0	1	1	1	
Slin_CCMP2456.gene15091.mRNA1	0	2	0	0	1	2	0	1	0	1	
Slin_CCMP2456.gene15093.mRNA1	0	0	1	0	0	0	0	0	1	0	
Slin_CCMP2456.gene15095.mRNA1	13	17	15	6	4	16	12	13	6	13	
Slin_CCMP2456.gene15097.mRNA1	0	1	1	1	1	0	1	1	0	0	
Slin_CCMP2456.gene15099.mRNA1	0	0	0	0	0	0	0	0	0	1	
Slin_CCMP2456.gene151.mRNA1	0	0	0	1	2	0	1	2	0	1	
Slin_CCMP2456.gene1510.mRNA1	12	24	12	14	9	9	10	20	15	10	
Slin_CCMP2456.gene15100.mRNA1	2	3	0	2	0	2	1	2	1	3	
Slin_CCMP2456.gene15101.mRNA1	1	0	1	0	1	0	1	0	0	0	
Slin_CCMP2456.gene15102.mRNA1	1	0	0	1	0	0	0	0	1	0	
Slin_CCMP2456.gene15105.mRNA1	7	5	4	2	0	4	3	7	2	2	
Slin_CCMP2456.gene15106.mRNA1	1	0	2	2	2	2	0	2	0	2	
Slin_CCMP2456.gene15107.mRNA1	1	3	0	0	0	1	2	0	1	1	
Slin_CCMP2456.gene15108.mRNA1	7	8	5	3	5	3	2	6	3	5	
Slin_CCMP2456.gene15109.mRNA1	1	1	1	3	3	2	2	1	1	0	
Slin_CCMP2456.gene1511.mRNA1	8	8	2	6	11	5	7	12	7	8	
Slin_CCMP2456.gene15111.mRNA1	1	1	1	1	1	3	1	5	1	2	
Slin_CCMP2456.gene15112.mRNA1	0	0	2	0	0	0	0	0	0	0	
Slin_CCMP2456.gene15114.mRNA1	2	2	1	2	1	2	2	1	2	1	
Slin_CCMP2456.gene1512.mRNA1	3	3	3	2	0	1	3	6	3	3	
Slin_CCMP2456.gene15123.mRNA1	0	1	3	1	0	0	0	1	1	0	
