	S1F.fastq.trim.sam.counts	S1S.fastq.trim.sam.counts	S2F.fastq.trim.sam.counts	S2S.fastq.trim.sam.counts	S3F.fastq.trim.sam.counts	S3S.fastq.trim.sam.counts	S4F.fastq.trim.sam.counts	S4S.fastq.trim.sam.counts	S5F.fastq.trim.sam.counts	S5S.fastq.trim.sam.counts	
Slin_CCMP2456.gene10116.mRNA1	1	3	3	1	3	2	2	4	0	5	
Slin_CCMP2456.gene10117.mRNA1	0	1	0	1	0	0	0	0	0	0	
Slin_CCMP2456.gene10119.mRNA1	4	5	4	2	2	3	2	4	3	4	
Slin_CCMP2456.gene1012.mRNA1	0	1	0	0	1	0	0	3	1	0	
Slin_CCMP2456.gene10120.mRNA1	0	0	0	0	0	0	0	0	0	1	
Slin_CCMP2456.gene10121.mRNA1	5	7	3	2	1	4	3	0	3	7	
Slin_CCMP2456.gene10122.mRNA1	1	2	0	0	0	0	0	0	0	0	
Slin_CCMP2456.gene10124.mRNA1	0	0	0	0	1	0	0	0	0	1	
Slin_CCMP2456.gene10125.mRNA1	3	12	6	6	6	5	1	8	5	8	
Slin_CCMP2456.gene10126.mRNA1	2	3	1	3	1	7	4	2	2	2	
Slin_CCMP2456.gene1013.mRNA1	0	1	0	0	0	0	0	0	1	0	
Slin_CCMP2456.gene10133.mRNA1	1	0	0	0	0	1	0	0	0	0	
Slin_CCMP2456.gene10138.mRNA1	1	1	1	0	0	0	0	0	0	0	
Slin_CCMP2456.gene10139.mRNA1	1	0	0	0	0	0	0	0	0	0	
Slin_CCMP2456.gene1014.mRNA1	2	3	3	1	3	3	0	5	4	3	
Slin_CCMP2456.gene10140.mRNA1	1	0	0	0	0	0	0	0	0	0	
Slin_CCMP2456.gene10142.mRNA1	2	1	1	1	3	5	0	6	3	1	
Slin_CCMP2456.gene10143.mRNA1	0	1	0	0	0	0	0	1	0	1	
Slin_CCMP2456.gene10144.mRNA1	1	3	0	1	0	1	0	2	1	1	
Slin_CCMP2456.gene10145.mRNA1	1	5	4	0	2	8	2	6	3	6	
Slin_CCMP2456.gene10146.mRNA1	2	2	2	0	2	1	0	2	0	0	
Slin_CCMP2456.gene10147.mRNA1	13	13	9	4	7	14	5	13	10	11	
Slin_CCMP2456.gene10148.mRNA1	2	0	3	0	0	0	0	3	1	3	
Slin_CCMP2456.gene10149.mRNA1	7	10	10	6	5	10	2	11	4	2	
Slin_CCMP2456.gene1015.mRNA1	1	1	1	1	0	0	0	1	1	0	
Slin_CCMP2456.gene10150.mRNA1	3	1	1	0	0	0	1	1	1	0	
Slin_CCMP2456.gene10151.mRNA1	7	9	4	3	4	6	6	7	2	6	
Slin_CCMP2456.gene10152.mRNA1	20	22	22	16	9	9	12	24	14	15	
Slin_CCMP2456.gene10156.mRNA1	0	0	0	0	0	2	0	2	0	1	
Slin_CCMP2456.gene10157.mRNA1	6	9	9	3	7	8	3	8	3	8	
Slin_CCMP2456.gene10158.mRNA1	1	0	3	0	0	2	3	2	2	1	
Slin_CCMP2456.gene10159.mRNA1	0	0	1	0	0	0	0	0	0	0	
Slin_CCMP2456.gene1016.mRNA1	5	2	3	4	3	7	2	5	3	8	
Slin_CCMP2456.gene10160.mRNA1	0	1	1	1	0	3	1	3	1	1	
Slin_CCMP2456.gene10163.mRNA1	0	0	0	0	0	0	0	0	1	0	
Slin_CCMP2456.gene10164.mRNA1	3	1	1	2	1	3	0	3	2	3	
Slin_CCMP2456.gene10165.mRNA1	2	3	3	0	0	4	4	5	3	1	
Slin_CCMP2456.gene10166.mRNA1	0	0	0	0	0	0	1	0	1	0	
Slin_CCMP2456.gene10167.mRNA1	0	0	1	0	1	0	0	0	0	0	
Slin_CCMP2456.gene10169.mRNA1	0	1	0	0	0	0	1	0	1	0	
Slin_CCMP2456.gene1017.mRNA1	0	0	1	0	0	0	0	0	0	0	
Slin_CCMP2456.gene10170.mRNA1	1	0	0	0	0	0	0	0	0	0	
Slin_CCMP2456.gene10172.mRNA1	4	1	5	3	4	9	5	6	4	5	
Slin_CCMP2456.gene10176.mRNA1	12	20	14	6	11	20	12	23	8	19	
Slin_CCMP2456.gene1018.mRNA1	9	15	6	6	4	7	10	12	3	9	
Slin_CCMP2456.gene10182.mRNA1	2	4	3	1	2	6	5	10	6	6	
Slin_CCMP2456.gene10185.mRNA1	0	1	0	0	0	0	0	2	0	4	
Slin_CCMP2456.gene1019.mRNA1	5	7	8	4	2	8	5	6	8	6	
Slin_CCMP2456.gene10190.mRNA1	0	1	1	0	0	0	0	0	0	0	
Slin_CCMP2456.gene10192.mRNA1	4	3	0	0	1	3	3	1	2	1	
Slin_CCMP2456.gene10193.mRNA1	0	0	0	0	1	0	0	0	0	0	
Slin_CCMP2456.gene10196.mRNA1	1	1	0	5	0	2	0	1	1	3	
Slin_CCMP2456.gene10197.mRNA1	0	0	0	0	0	0	0	1	0	0	
Slin_CCMP2456.gene10198.mRNA1	1	1	1	1	0	3	2	1	0	1	
Slin_CCMP2456.gene10199.mRNA1	1	2	0	0	0	1	3	0	2	1	
Slin_CCMP2456.gene1020.mRNA1	1	0	5	1	1	0	2	2	0	1	
Slin_CCMP2456.gene10201.mRNA1	1	2	0	1	0	1	1	0	1	0	
Slin_CCMP2456.gene10203.mRNA1	1	5	1	1	3	3	0	0	0	1	
Slin_CCMP2456.gene10204.mRNA1	0	1	0	0	0	0	0	0	0	0	
Slin_CCMP2456.gene1021.mRNA1	1	4	3	1	1	4	2	3	4	7	
Slin_CCMP2456.gene10210.mRNA1	0	3	2	0	2	3	0	3	1	2	
Slin_CCMP2456.gene10216.mRNA1	4	4	4	3	2	5	5	5	3	2	
Slin_CCMP2456.gene10217.mRNA1	0	4	4	3	1	1	1	2	1	3	
Slin_CCMP2456.gene10219.mRNA1	0	1	0	1	4	0	2	0	0	2	
Slin_CCMP2456.gene10222.mRNA1	1	1	0	0	0	0	0	0	0	0	
Slin_CCMP2456.gene10223.mRNA1	2	1	0	0	0	1	0	0	0	2	
Slin_CCMP2456.gene10224.mRNA1	0	0	0	0	0	0	0	1	0	0	
Slin_CCMP2456.gene10228.mRNA1	8	14	6	8	4	8	3	5	3	3	
Slin_CCMP2456.gene10229.mRNA1	18	12	9	5	6	15	6	12	6	13	
Slin_CCMP2456.gene1023.mRNA1	1	8	3	2	4	4	2	5	1	1	
Slin_CCMP2456.gene10232.mRNA1	0	0	0	0	0	0	0	0	0	1	
Slin_CCMP2456.gene10233.mRNA1	7	6	4	1	2	8	3	0	3	5	
Slin_CCMP2456.gene10236.mRNA1	3	2	1	0	2	0	1	1	1	4	
Slin_CCMP2456.gene10237.mRNA1	0	0	2	0	2	1	0	2	0	2	
